CUSTOMER_ID,CUSTOMER_NAME,CX_USECASE_NAME,MAX_LIFECYCLE_STAGE_NAME,ACCOUNT_INDENTIFIER,CUSTOMER_MAX_LIFE_CYCLE_STAGE
203883995,CYFROWY POLSAT S A,Detect and Respond,Purchase,SAV,Implement
203883995,CYFROWY POLSAT S A,Location Based Intelligence,Purchase,SAV,Implement
203883995,CYFROWY POLSAT S A,Simplified Operations,Implement,SAV,Implement
