Bk Sales Account Id Int,Sales Account Group Name,Business Entity Descr,Bk Product Id,Contract Type,Contract Line End Fiscal Quarter,Sntc Sspt Offer Flag,Covered Item Qty,Annualized Extended Contract Line List Usd Amount,ANNUALIZED_CONTRACT_LINE_NET_USD_AMOUNT,Product Unit List Price,Service List Price,CORRECTED_CONTRACT_LINE_NET_USD_AMOUNT
203721067,ARAMCO SERVICES COMPANY,Security,SF-F4K-TD6.3-K9,SSSNT,20231,Solution Support,2.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,IOT Software,IOT-OIL-GAS,SNT,20252,Smartnet Total Care,2.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Data Center Switching,GLC-FE-100FX-RGD,SPC4P,20232,SP Base,0.015830,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Security,FMC-M5-NIC-SFP,SSSNT,20231,Solution Support,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Network Services,TE-EMBEDDED-T,SSTC,20264,,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,NETWORK-PNP-LIC,SNT,20272,Smartnet Total Care,6.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,IOT Software,IOT-OTHER,SNT,20224,Smartnet Total Care,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Wireless,PI-LFAS-T,SSTC,20242,,8.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,SP Routing,GLC-LH-SMD=,SNT,20224,Smartnet Total Care,0.760740,0.0,0.0,439.0230540000001,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Wireless,AIR-MR-1X081RV-A,SPC4P,20232,SP Base,8.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Wireless,AIR-PSU1-770W,SPC4P,20232,SP Base,4.000000,0.0,0.0,1398.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,C3KX-NM-1G=,SPC4P,20232,SP Base,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,IOT Software,IOT-PROCESS-PLANT,SNT,20252,Smartnet Total Care,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Wireless,AIR-CT6870-NIC-K9,SPC4P,20232,SP Base,2.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,IOT Software,IE-4000-4GS8GP4G-E,SNT,20252,Smartnet Total Care,1.000000,2286.6,545.81,8107.0,2286.6,1637.43
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,GLC-LH-SMD,SPC4P,20232,SP Base,1.556640,0.0,2.6825036654592,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,DN2-TPM2-002,SSSNT,20242,Solution Support,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Routing,VWIC3-2MFT-T1/E1,SNTP,20224,Smartnet Total Care,1.000000,0.0,0.0,2200.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,DNA-SW-1.3,SSSNT,20242,Solution Support,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,GLC-FE-100FX=,SPC4P,20232,SP Base,47.477520,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Routing,ASR1001-PWR-AC,SPCS,20232,SP Base,4.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Security,SF-FMC-6.3-K9,SSSNT,20231,Solution Support,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Routing,CAB-C13-C14-2M,SNT,20253,Smartnet Total Care,4.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Routing,PVDM3-32U64,SNTP,20224,Smartnet Total Care,1.000000,0.0,0.0,1500.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,C9300-DNA-A-24,SSTC,20243,,1.000000,672.9612431444241,336.48062157221204,0.0,2017.04,1008.52
203721067,ARAMCO SERVICES COMPANY,Enterprise Routing,S29UK9-15503M,SNTP,20224,Smartnet Total Care,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,C9300-DNA-E-24,SSTC,20253,,6.000000,3678.2999999999997,538.62,0.0,3678.2999999999997,1615.8600000000001
203721067,ARAMCO SERVICES COMPANY,Enterprise Routing,CISCO2921-V/K9,SNTP,20224,Smartnet Total Care,1.000000,1568.0,1199.2176815023472,5150.0,1568.0,1207.36
203721067,ARAMCO SERVICES COMPANY,Data Center Switching,SFP-10G-LR,SPC4P,20232,SP Base,3.572730,0.0,24.079778560696322,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Data Center Switching,NXK-ACC-KIT-1RU,SNT,20253,Smartnet Total Care,2.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Data Center Switching,SFP-10G-LR=,SPC4P,20232,SP Base,6.351520,0.0,42.80849521901568,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Data Center,DISTI-STOCKING,SNT,20252,Smartnet Total Care,3.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,IOT Software,PWR-IE170W-PC-AC,SNT,20224,Smartnet Total Care,1.000000,0.0,0.0,1655.78,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,WS-C3850-48T-S-RF,SNT,20252,Smartnet Total Care,2.000000,6292.02,1501.9066666666668,19298.78,6292.02,4505.72
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,PWR-C1-715WAC-P/2,SPC4P,20232,SP Base,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Security,FMC-M5-HDD-600G,SSSNT,20231,Solution Support,4.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,PWR-C1-715WAC-P,SPC4P,20232,SP Base,1.000000,0.0,0.0,0.0,0.0,0.0
203721067,ARAMCO SERVICES COMPANY,Enterprise Networking,C9200L-48T-4X-A,SNT,20242,Smartnet Total Care,8.000000,2738.500914076783,1945.8839179387573,38173.12,8208.0,5877.84
203721067,ARAMCO SERVICES COMPANY,Enterprise Routing,ISR4331/K9,SNTP,20232,Smartnet Total Care,1.000000,822.05,558.99,3495.0,822.05,558.99
203721067,ARAMCO SERVICES COMPANY,Collaboration,CAB-ETH-5M-GR+,ECDN,20224,TELEPRESENCE CUSTOMERS,1.000000,0.0,0.0,0.0,0.0,0.0
